year_of_diagnosis,age_group,adjusted_ajcc_6th_stage,tumor_site,Age
1981,25-34 yrs,0,Central portion,0
1981,25-34 yrs,0,Lower-inner quadrant,0
1981,25-34 yrs,0,Lower-outer quadrant,0
1981,25-34 yrs,0,Nipple,0
1981,25-34 yrs,0,Overlapping lesion,0
1981,25-34 yrs,0,Upper-inner quadrant,0
1981,25-34 yrs,0,Upper-outer quadrant,0
1981,25-34 yrs,I,Axillary tail,0
1981,25-34 yrs,I,"Breast, NOS",0
1981,25-34 yrs,I,Central portion,0
1981,25-34 yrs,I,Lower-inner quadrant,0
1981,25-34 yrs,I,Lower-outer quadrant,0
1981,25-34 yrs,I,Nipple,0
1981,25-34 yrs,I,Overlapping lesion,0
1981,25-34 yrs,I,Upper-inner quadrant,0
1981,25-34 yrs,I,Upper-outer quadrant,0
1981,25-34 yrs,II,Axillary tail,0
1981,25-34 yrs,II,"Breast, NOS",0
1981,25-34 yrs,II,Central portion,0
1981,25-34 yrs,II,Lower-inner quadrant,0
1981,25-34 yrs,II,Lower-outer quadrant,0
1981,25-34 yrs,II,Nipple,0
1981,25-34 yrs,II,Overlapping lesion,0
1981,25-34 yrs,II,Upper-inner quadrant,0
1981,25-34 yrs,II,Upper-outer quadrant,0
1981,25-34 yrs,III,Axillary tail,0
1981,25-34 yrs,III,"Breast, NOS",0
1981,25-34 yrs,III,Central portion,0
1981,25-34 yrs,III,Lower-inner quadrant,0
1981,25-34 yrs,III,Lower-outer quadrant,0
1981,25-34 yrs,III,Nipple,0
1981,25-34 yrs,III,Overlapping lesion,0
1981,25-34 yrs,III,Upper-inner quadrant,0
1981,25-34 yrs,III,Upper-outer quadrant,0
1981,25-34 yrs,IV,Axillary tail,0
1981,25-34 yrs,IV,"Breast, NOS",0
1981,25-34 yrs,IV,Central portion,0
1981,25-34 yrs,IV,Lower-inner quadrant,0
1981,25-34 yrs,IV,Lower-outer quadrant,0
1981,25-34 yrs,IV,Nipple,0
1981,25-34 yrs,IV,Overlapping lesion,0
1981,25-34 yrs,IV,Upper-inner quadrant,0
1981,25-34 yrs,IV,Upper-outer quadrant,0
1981,25-34 yrs,Unknown,Axillary tail,8
1981,25-34 yrs,Unknown,"Breast, NOS",52
1981,25-34 yrs,Unknown,Central portion,19
1981,25-34 yrs,Unknown,Lower-inner quadrant,13
1981,25-34 yrs,Unknown,Lower-outer quadrant,19
1981,25-34 yrs,Unknown,Nipple,1
1981,25-34 yrs,Unknown,Overlapping lesion,71
1981,25-34 yrs,Unknown,Upper-inner quadrant,37
1981,25-34 yrs,Unknown,Upper-outer quadrant,117
1981,35-44 yrs,0,Axillary tail,0
1981,35-44 yrs,0,"Breast, NOS",0
1981,35-44 yrs,0,Central portion,0
1981,35-44 yrs,0,Lower-inner quadrant,0
1981,35-44 yrs,0,Lower-outer quadrant,0
1981,35-44 yrs,0,Nipple,0
1981,35-44 yrs,0,Overlapping lesion,0
1981,35-44 yrs,0,Upper-inner quadrant,0
1981,35-44 yrs,0,Upper-outer quadrant,0
1981,35-44 yrs,I,Axillary tail,0
1981,35-44 yrs,I,"Breast, NOS",0
1981,35-44 yrs,I,Central portion,0
1981,35-44 yrs,I,Lower-inner quadrant,0
1981,35-44 yrs,I,Lower-outer quadrant,0
1981,35-44 yrs,I,Nipple,0
1981,35-44 yrs,I,Overlapping lesion,0
1981,35-44 yrs,I,Upper-inner quadrant,0
1981,35-44 yrs,I,Upper-outer quadrant,0
1981,35-44 yrs,II,Axillary tail,0
1981,35-44 yrs,II,"Breast, NOS",0
1981,35-44 yrs,II,Central portion,0
1981,35-44 yrs,II,Lower-inner quadrant,0
1981,35-44 yrs,II,Lower-outer quadrant,0
1981,35-44 yrs,II,Nipple,0
1981,35-44 yrs,II,Overlapping lesion,0
1981,35-44 yrs,II,Upper-inner quadrant,0
1981,35-44 yrs,II,Upper-outer quadrant,0
1981,35-44 yrs,III,Axillary tail,0
1981,35-44 yrs,III,"Breast, NOS",0
1981,35-44 yrs,III,Central portion,0
1981,35-44 yrs,III,Lower-inner quadrant,0
1981,35-44 yrs,III,Lower-outer quadrant,0
1981,35-44 yrs,III,Nipple,0
1981,35-44 yrs,III,Overlapping lesion,0
1981,35-44 yrs,III,Upper-inner quadrant,0
1981,35-44 yrs,III,Upper-outer quadrant,0
1981,35-44 yrs,IV,Axillary tail,0
1981,35-44 yrs,IV,"Breast, NOS",0
1981,35-44 yrs,IV,Central portion,0
1981,35-44 yrs,IV,Lower-inner quadrant,0
1981,35-44 yrs,IV,Lower-outer quadrant,0
1981,35-44 yrs,IV,Nipple,0
1981,35-44 yrs,IV,Overlapping lesion,0
1981,35-44 yrs,IV,Upper-inner quadrant,0
1981,35-44 yrs,IV,Upper-outer quadrant,0
1981,35-44 yrs,Unknown,Axillary tail,14
1981,35-44 yrs,Unknown,"Breast, NOS",169
1981,35-44 yrs,Unknown,Central portion,39
1981,35-44 yrs,Unknown,Lower-inner quadrant,43
1981,35-44 yrs,Unknown,Lower-outer quadrant,72
1981,35-44 yrs,Unknown,Nipple,5
1981,35-44 yrs,Unknown,Overlapping lesion,227
1981,35-44 yrs,Unknown,Upper-inner quadrant,82
1981,35-44 yrs,Unknown,Upper-outer quadrant,281
1981,45-54 yrs,0,Axillary tail,0
1981,45-54 yrs,0,"Breast, NOS",0
1981,45-54 yrs,0,Central portion,0
1981,45-54 yrs,0,Lower-inner quadrant,0
1981,45-54 yrs,0,Lower-outer quadrant,0
1981,45-54 yrs,0,Nipple,0
1981,45-54 yrs,0,Overlapping lesion,0
1981,45-54 yrs,0,Upper-inner quadrant,0
1981,45-54 yrs,0,Upper-outer quadrant,0
1981,45-54 yrs,I,Axillary tail,0
1981,45-54 yrs,I,"Breast, NOS",0
1981,45-54 yrs,I,Central portion,0
1981,45-54 yrs,I,Lower-inner quadrant,0
1981,45-54 yrs,I,Lower-outer quadrant,0
1981,45-54 yrs,I,Nipple,0
1981,45-54 yrs,I,Overlapping lesion,0
1981,45-54 yrs,I,Upper-inner quadrant,0
1981,45-54 yrs,I,Upper-outer quadrant,0
1981,45-54 yrs,II,Axillary tail,0
1981,45-54 yrs,II,"Breast, NOS",0
1981,45-54 yrs,II,Central portion,0
1981,45-54 yrs,II,Lower-inner quadrant,0
1981,45-54 yrs,II,Lower-outer quadrant,0
1981,45-54 yrs,II,Nipple,0
1981,45-54 yrs,II,Overlapping lesion,0
1981,45-54 yrs,II,Upper-inner quadrant,0
1981,45-54 yrs,II,Upper-outer quadrant,0
1981,45-54 yrs,III,Axillary tail,0
1981,45-54 yrs,III,"Breast, NOS",0
1981,45-54 yrs,III,Central portion,0
1981,45-54 yrs,III,Lower-inner quadrant,0
1981,45-54 yrs,III,Lower-outer quadrant,0
1981,45-54 yrs,III,Nipple,0
1981,45-54 yrs,III,Overlapping lesion,0
1981,45-54 yrs,III,Upper-inner quadrant,0
1981,45-54 yrs,III,Upper-outer quadrant,0
1981,45-54 yrs,IV,Axillary tail,0
1981,45-54 yrs,IV,"Breast, NOS",0
1981,45-54 yrs,IV,Central portion,0
1981,45-54 yrs,IV,Lower-inner quadrant,0
1981,45-54 yrs,IV,Lower-outer quadrant,0
1981,45-54 yrs,IV,Nipple,0
1981,45-54 yrs,IV,Overlapping lesion,0
1981,45-54 yrs,IV,Upper-inner quadrant,0
1981,45-54 yrs,IV,Upper-outer quadrant,0
1981,45-54 yrs,Unknown,Axillary tail,25
1981,45-54 yrs,Unknown,"Breast, NOS",277
1981,45-54 yrs,Unknown,Central portion,104
1981,45-54 yrs,Unknown,Lower-inner quadrant,51
1981,45-54 yrs,Unknown,Lower-outer quadrant,109
1981,45-54 yrs,Unknown,Nipple,9
1981,45-54 yrs,Unknown,Overlapping lesion,329
1981,45-54 yrs,Unknown,Upper-inner quadrant,135
1981,45-54 yrs,Unknown,Upper-outer quadrant,561
1981,55-64 yrs,0,Axillary tail,0
1981,55-64 yrs,0,"Breast, NOS",0
1981,55-64 yrs,0,Central portion,0
1981,55-64 yrs,0,Lower-inner quadrant,0
1981,55-64 yrs,0,Lower-outer quadrant,0
1981,55-64 yrs,0,Nipple,0
1981,55-64 yrs,0,Overlapping lesion,0
1981,55-64 yrs,0,Upper-inner quadrant,0
1981,55-64 yrs,0,Upper-outer quadrant,0
1981,55-64 yrs,I,Axillary tail,0
1981,55-64 yrs,I,"Breast, NOS",0
1981,55-64 yrs,I,Central portion,0
1981,55-64 yrs,I,Lower-inner quadrant,0
1981,55-64 yrs,I,Lower-outer quadrant,0
1981,55-64 yrs,I,Nipple,0
1981,55-64 yrs,I,Overlapping lesion,0
1981,55-64 yrs,I,Upper-inner quadrant,0
1981,55-64 yrs,I,Upper-outer quadrant,0
1981,55-64 yrs,II,Axillary tail,0
1981,55-64 yrs,II,"Breast, NOS",0
1981,55-64 yrs,II,Central portion,0
1981,55-64 yrs,II,Lower-inner quadrant,0
1981,55-64 yrs,II,Lower-outer quadrant,0
1981,55-64 yrs,II,Nipple,0
1981,55-64 yrs,II,Overlapping lesion,0
1981,55-64 yrs,II,Upper-inner quadrant,0
1981,55-64 yrs,II,Upper-outer quadrant,0
1981,55-64 yrs,III,Axillary tail,0
1981,55-64 yrs,III,"Breast, NOS",0
1981,55-64 yrs,III,Central portion,0
1981,55-64 yrs,III,Lower-inner quadrant,0
1981,55-64 yrs,III,Lower-outer quadrant,0
1981,55-64 yrs,III,Nipple,0
1981,55-64 yrs,III,Overlapping lesion,0
1981,55-64 yrs,III,Upper-inner quadrant,0
1981,55-64 yrs,III,Upper-outer quadrant,0
1981,55-64 yrs,IV,Axillary tail,0
1981,55-64 yrs,IV,"Breast, NOS",0
1981,55-64 yrs,IV,Central portion,0
1981,55-64 yrs,IV,Lower-inner quadrant,0
1981,55-64 yrs,IV,Lower-outer quadrant,0
1981,55-64 yrs,IV,Nipple,0
1981,55-64 yrs,IV,Overlapping lesion,0
1981,55-64 yrs,IV,Upper-inner quadrant,0
1981,55-64 yrs,IV,Upper-outer quadrant,0
1981,55-64 yrs,Unknown,Axillary tail,18
1981,55-64 yrs,Unknown,"Breast, NOS",411
1981,55-64 yrs,Unknown,Central portion,141
1981,55-64 yrs,Unknown,Lower-inner quadrant,88
1981,55-64 yrs,Unknown,Lower-outer quadrant,138
1981,55-64 yrs,Unknown,Nipple,19
1981,55-64 yrs,Unknown,Overlapping lesion,484
1981,55-64 yrs,Unknown,Upper-inner quadrant,187
1981,55-64 yrs,Unknown,Upper-outer quadrant,710
1981,65-74 yrs,0,Axillary tail,0
1981,65-74 yrs,0,"Breast, NOS",0
1981,65-74 yrs,0,Central portion,0
1981,65-74 yrs,0,Lower-inner quadrant,0
1981,65-74 yrs,0,Lower-outer quadrant,0
1981,65-74 yrs,0,Nipple,0
1981,65-74 yrs,0,Overlapping lesion,0
1981,65-74 yrs,0,Upper-inner quadrant,0
1981,65-74 yrs,0,Upper-outer quadrant,0
1981,65-74 yrs,I,Axillary tail,0
1981,65-74 yrs,I,"Breast, NOS",0
1981,65-74 yrs,I,Central portion,0
1981,65-74 yrs,I,Lower-inner quadrant,0
1981,65-74 yrs,I,Lower-outer quadrant,0
1981,65-74 yrs,I,Nipple,0
1981,65-74 yrs,I,Overlapping lesion,0
1981,65-74 yrs,I,Upper-inner quadrant,0
1981,65-74 yrs,I,Upper-outer quadrant,0
1981,65-74 yrs,II,Axillary tail,0
1981,65-74 yrs,II,"Breast, NOS",0
1981,65-74 yrs,II,Central portion,0
1981,65-74 yrs,II,Lower-inner quadrant,0
1981,65-74 yrs,II,Lower-outer quadrant,0
1981,65-74 yrs,II,Nipple,0
1981,65-74 yrs,II,Overlapping lesion,0
1981,65-74 yrs,II,Upper-inner quadrant,0
1981,65-74 yrs,II,Upper-outer quadrant,0
1981,65-74 yrs,III,Axillary tail,0
1981,65-74 yrs,III,"Breast, NOS",0
1981,65-74 yrs,III,Central portion,0
1981,65-74 yrs,III,Lower-inner quadrant,0
1981,65-74 yrs,III,Lower-outer quadrant,0
1981,65-74 yrs,III,Nipple,0
1981,65-74 yrs,III,Overlapping lesion,0
1981,65-74 yrs,III,Upper-inner quadrant,0
1981,65-74 yrs,III,Upper-outer quadrant,0
1981,65-74 yrs,IV,Axillary tail,0
1981,65-74 yrs,IV,"Breast, NOS",0
1981,65-74 yrs,IV,Central portion,0
1981,65-74 yrs,IV,Lower-inner quadrant,0
1981,65-74 yrs,IV,Lower-outer quadrant,0
1981,65-74 yrs,IV,Nipple,0
1981,65-74 yrs,IV,Overlapping lesion,0
1981,65-74 yrs,IV,Upper-inner quadrant,0
1981,65-74 yrs,IV,Upper-outer quadrant,0
1981,65-74 yrs,Unknown,Axillary tail,16
1981,65-74 yrs,Unknown,"Breast, NOS",358
1981,65-74 yrs,Unknown,Central portion,138
1981,65-74 yrs,Unknown,Lower-inner quadrant,80
1981,65-74 yrs,Unknown,Lower-outer quadrant,128
1981,65-74 yrs,Unknown,Nipple,19
1981,65-74 yrs,Unknown,Overlapping lesion,469
1981,65-74 yrs,Unknown,Upper-inner quadrant,171
1981,65-74 yrs,Unknown,Upper-outer quadrant,574
1981,75-84 yrs,0,Axillary tail,0
1981,75-84 yrs,0,"Breast, NOS",0
1981,75-84 yrs,0,Central portion,0
1981,75-84 yrs,0,Lower-inner quadrant,0
1981,75-84 yrs,0,Lower-outer quadrant,0
1981,75-84 yrs,0,Nipple,0
1981,75-84 yrs,0,Overlapping lesion,0
1981,75-84 yrs,0,Upper-inner quadrant,0
1981,75-84 yrs,0,Upper-outer quadrant,0
1981,75-84 yrs,I,Axillary tail,0
1981,75-84 yrs,I,"Breast, NOS",0
1981,75-84 yrs,I,Central portion,0
1981,75-84 yrs,I,Lower-inner quadrant,0
1981,75-84 yrs,I,Lower-outer quadrant,0
1981,75-84 yrs,I,Nipple,0
1981,75-84 yrs,I,Overlapping lesion,0
1981,75-84 yrs,I,Upper-inner quadrant,0
1981,75-84 yrs,I,Upper-outer quadrant,0
1981,75-84 yrs,II,Axillary tail,0
1981,75-84 yrs,II,"Breast, NOS",0
1981,75-84 yrs,II,Central portion,0
1981,75-84 yrs,II,Lower-inner quadrant,0
1981,75-84 yrs,II,Lower-outer quadrant,0
1981,75-84 yrs,II,Nipple,0
1981,75-84 yrs,II,Overlapping lesion,0
1981,75-84 yrs,II,Upper-inner quadrant,0
1981,75-84 yrs,II,Upper-outer quadrant,0
1981,75-84 yrs,III,Axillary tail,0
1981,75-84 yrs,III,"Breast, NOS",0
1981,75-84 yrs,III,Central portion,0
1981,75-84 yrs,III,Lower-inner quadrant,0
1981,75-84 yrs,III,Lower-outer quadrant,0
1981,75-84 yrs,III,Nipple,0
1981,75-84 yrs,III,Overlapping lesion,0
1981,75-84 yrs,III,Upper-inner quadrant,0
1981,75-84 yrs,III,Upper-outer quadrant,0
1981,75-84 yrs,IV,Axillary tail,0
1981,75-84 yrs,IV,"Breast, NOS",0
1981,75-84 yrs,IV,Central portion,0
1981,75-84 yrs,IV,Lower-inner quadrant,0
1981,75-84 yrs,IV,Lower-outer quadrant,0
1981,75-84 yrs,IV,Nipple,0
1981,75-84 yrs,IV,Overlapping lesion,0
1981,75-84 yrs,IV,Upper-inner quadrant,0
1981,75-84 yrs,IV,Upper-outer quadrant,0
1981,75-84 yrs,Unknown,Axillary tail,19
1981,75-84 yrs,Unknown,"Breast, NOS",405
1981,75-84 yrs,Unknown,Central portion,107
1981,75-84 yrs,Unknown,Lower-inner quadrant,50
1981,75-84 yrs,Unknown,Lower-outer quadrant,99
1981,75-84 yrs,Unknown,Nipple,14
1981,75-84 yrs,Unknown,Overlapping lesion,403
1981,75-84 yrs,Unknown,Upper-inner quadrant,125
1981,75-84 yrs,Unknown,Upper-outer quadrant,507
1982,5-14 yrs,0,Axillary tail,0
1982,5-14 yrs,0,"Breast, NOS",0
1982,5-14 yrs,0,Central portion,0
1982,5-14 yrs,0,Lower-inner quadrant,0
1982,5-14 yrs,0,Lower-outer quadrant,0
1982,5-14 yrs,0,Nipple,0
1982,5-14 yrs,0,Overlapping lesion,0
1982,5-14 yrs,0,Upper-inner quadrant,0
1982,5-14 yrs,0,Upper-outer quadrant,0
1982,5-14 yrs,I,Axillary tail,0
1982,5-14 yrs,I,"Breast, NOS",0
1982,5-14 yrs,I,Central portion,0
1982,5-14 yrs,I,Lower-inner quadrant,0
1982,5-14 yrs,I,Lower-outer quadrant,0
1982,5-14 yrs,I,Nipple,0
1982,5-14 yrs,I,Overlapping lesion,0
1982,5-14 yrs,I,Upper-inner quadrant,0
1982,5-14 yrs,I,Upper-outer quadrant,0
1982,5-14 yrs,II,Axillary tail,0
1982,5-14 yrs,II,"Breast, NOS",0
1982,5-14 yrs,II,Central portion,0
1982,5-14 yrs,II,Lower-inner quadrant,0
1982,5-14 yrs,II,Lower-outer quadrant,0
1982,5-14 yrs,II,Nipple,0
1982,5-14 yrs,II,Overlapping lesion,0
1982,5-14 yrs,II,Upper-inner quadrant,0
1982,5-14 yrs,II,Upper-outer quadrant,0
1982,5-14 yrs,III,Axillary tail,0
1982,5-14 yrs,III,"Breast, NOS",0
1982,5-14 yrs,III,Central portion,0
1982,5-14 yrs,III,Lower-inner quadrant,0
1982,5-14 yrs,III,Lower-outer quadrant,0
1982,5-14 yrs,III,Nipple,0
1982,5-14 yrs,III,Overlapping lesion,0
1982,5-14 yrs,III,Upper-inner quadrant,0
1982,5-14 yrs,III,Upper-outer quadrant,0
1982,5-14 yrs,IV,Axillary tail,0
1982,5-14 yrs,IV,"Breast, NOS",0
1982,5-14 yrs,IV,Central portion,0
1982,5-14 yrs,IV,Lower-inner quadrant,0
1982,5-14 yrs,IV,Lower-outer quadrant,0
1982,5-14 yrs,IV,Nipple,0
1982,5-14 yrs,IV,Overlapping lesion,0
1982,5-14 yrs,IV,Upper-inner quadrant,0
1982,5-14 yrs,IV,Upper-outer quadrant,0
1982,5-14 yrs,Unknown,Axillary tail,0
1982,5-14 yrs,Unknown,"Breast, NOS",0
1982,5-14 yrs,Unknown,Central portion,0
1982,5-14 yrs,Unknown,Lower-inner quadrant,0
1982,5-14 yrs,Unknown,Lower-outer quadrant,0
1982,5-14 yrs,Unknown,Nipple,0
1982,5-14 yrs,Unknown,Overlapping lesion,0
1982,5-14 yrs,Unknown,Upper-inner quadrant,0
1982,5-14 yrs,Unknown,Upper-outer quadrant,0
1982,15-24 yrs,0,Axillary tail,0
1982,15-24 yrs,0,"Breast, NOS",0
1982,15-24 yrs,0,Central portion,0
1982,15-24 yrs,0,Lower-inner quadrant,0
1982,15-24 yrs,0,Lower-outer quadrant,0
1982,15-24 yrs,0,Nipple,0
1982,15-24 yrs,0,Overlapping lesion,0
1982,15-24 yrs,0,Upper-inner quadrant,0
1982,15-24 yrs,0,Upper-outer quadrant,0
1982,15-24 yrs,I,Axillary tail,0
1982,15-24 yrs,I,"Breast, NOS",0
1982,15-24 yrs,I,Central portion,0
1982,15-24 yrs,I,Lower-inner quadrant,0
1982,15-24 yrs,I,Lower-outer quadrant,0
1982,15-24 yrs,I,Nipple,0
1982,15-24 yrs,I,Overlapping lesion,0
1982,15-24 yrs,I,Upper-inner quadrant,0
1982,15-24 yrs,I,Upper-outer quadrant,0
1982,15-24 yrs,II,Axillary tail,0
1982,15-24 yrs,II,"Breast, NOS",0
1982,15-24 yrs,II,Central portion,0
1982,15-24 yrs,II,Lower-inner quadrant,0
1982,15-24 yrs,II,Lower-outer quadrant,0
1982,15-24 yrs,II,Nipple,0
1982,15-24 yrs,II,Overlapping lesion,0
1982,15-24 yrs,II,Upper-inner quadrant,0
1982,15-24 yrs,II,Upper-outer quadrant,0
1982,15-24 yrs,III,Axillary tail,0
1982,15-24 yrs,III,"Breast, NOS",0
1982,15-24 yrs,III,Central portion,0
1982,15-24 yrs,III,Lower-inner quadrant,0
1982,15-24 yrs,III,Lower-outer quadrant,0
1982,15-24 yrs,III,Nipple,0
1982,15-24 yrs,III,Overlapping lesion,0
1982,15-24 yrs,III,Upper-inner quadrant,0
1982,15-24 yrs,III,Upper-outer quadrant,0
1982,15-24 yrs,IV,Axillary tail,0
1982,15-24 yrs,IV,"Breast, NOS",0
1982,15-24 yrs,IV,Central portion,0
1982,15-24 yrs,IV,Lower-inner quadrant,0
1982,15-24 yrs,IV,Lower-outer quadrant,0
1982,15-24 yrs,IV,Nipple,0
1982,15-24 yrs,IV,Overlapping lesion,0
1982,15-24 yrs,IV,Upper-inner quadrant,0
1982,15-24 yrs,IV,Upper-outer quadrant,0
1982,15-24 yrs,Unknown,Axillary tail,0
1982,15-24 yrs,Unknown,"Breast, NOS",3
1982,15-24 yrs,Unknown,Central portion,0
1982,15-24 yrs,Unknown,Lower-inner quadrant,1
1982,15-24 yrs,Unknown,Lower-outer quadrant,0
1982,15-24 yrs,Unknown,Nipple,0
1982,15-24 yrs,Unknown,Overlapping lesion,3
1982,15-24 yrs,Unknown,Upper-inner quadrant,2
1982,15-24 yrs,Unknown,Upper-outer quadrant,9
1982,25-34 yrs,0,Axillary tail,0
1982,25-34 yrs,0,"Breast, NOS",0
1982,25-34 yrs,0,Central portion,0
1982,25-34 yrs,0,Lower-inner quadrant,0
1982,25-34 yrs,0,Lower-outer quadrant,0
1982,25-34 yrs,0,Nipple,0
1982,25-34 yrs,0,Overlapping lesion,0
1982,25-34 yrs,0,Upper-inner quadrant,0
1982,25-34 yrs,0,Upper-outer quadrant,0
1982,25-34 yrs,I,Axillary tail,0
1982,25-34 yrs,I,"Breast, NOS",0
1982,25-34 yrs,I,Central portion,0
1982,25-34 yrs,I,Lower-inner quadrant,0
1982,25-34 yrs,I,Lower-outer quadrant,0
1982,25-34 yrs,I,Nipple,0
1982,25-34 yrs,I,Overlapping lesion,0
1982,25-34 yrs,I,Upper-inner quadrant,0
1982,25-34 yrs,I,Upper-outer quadrant,0
1982,25-34 yrs,II,Axillary tail,0
1982,25-34 yrs,II,"Breast, NOS",0
1982,25-34 yrs,II,Central portion,0
1982,25-34 yrs,II,Lower-inner quadrant,0
1982,25-34 yrs,II,Lower-outer quadrant,0
1982,25-34 yrs,II,Nipple,0
1982,25-34 yrs,II,Overlapping lesion,0
1982,25-34 yrs,II,Upper-inner quadrant,0
1982,25-34 yrs,II,Upper-outer quadrant,0
1982,25-34 yrs,III,Axillary tail,0
1982,25-34 yrs,III,"Breast, NOS",0
1982,25-34 yrs,III,Central portion,0
1982,25-34 yrs,III,Lower-inner quadrant,0
1982,25-34 yrs,III,Lower-outer quadrant,0
1982,25-34 yrs,III,Nipple,0
1982,25-34 yrs,III,Overlapping lesion,0
1982,25-34 yrs,III,Upper-inner quadrant,0
1982,25-34 yrs,III,Upper-outer quadrant,0
1982,25-34 yrs,IV,Axillary tail,0
1982,25-34 yrs,IV,"Breast, NOS",0
1982,25-34 yrs,IV,Central portion,0
1982,25-34 yrs,IV,Lower-inner quadrant,0
1982,25-34 yrs,IV,Lower-outer quadrant,0
1982,25-34 yrs,IV,Nipple,0
1982,25-34 yrs,IV,Overlapping lesion,0
1982,25-34 yrs,IV,Upper-inner quadrant,0
1982,25-34 yrs,IV,Upper-outer quadrant,0
1982,25-34 yrs,Unknown,Axillary tail,5
1982,25-34 yrs,Unknown,"Breast, NOS",70
1982,25-34 yrs,Unknown,Central portion,13
1982,25-34 yrs,Unknown,Lower-inner quadrant,11
1982,25-34 yrs,Unknown,Lower-outer quadrant,16
1982,25-34 yrs,Unknown,Nipple,1
1982,25-34 yrs,Unknown,Overlapping lesion,89
1982,25-34 yrs,Unknown,Upper-inner quadrant,43
1982,25-34 yrs,Unknown,Upper-outer quadrant,138
1982,35-44 yrs,0,Axillary tail,0
1982,35-44 yrs,0,"Breast, NOS",0
1982,35-44 yrs,0,Central portion,0
1982,35-44 yrs,0,Lower-inner quadrant,0
1982,35-44 yrs,0,Lower-outer quadrant,0
1982,35-44 yrs,0,Nipple,0
1982,35-44 yrs,0,Overlapping lesion,0
1982,35-44 yrs,0,Upper-inner quadrant,0
1982,35-44 yrs,0,Upper-outer quadrant,0
1982,35-44 yrs,I,Axillary tail,0
1982,35-44 yrs,I,"Breast, NOS",0
1982,35-44 yrs,I,Central portion,0
1982,35-44 yrs,I,Lower-inner quadrant,0
1982,35-44 yrs,I,Lower-outer quadrant,0
1982,35-44 yrs,I,Nipple,0
1982,35-44 yrs,I,Overlapping lesion,0
1982,35-44 yrs,I,Upper-inner quadrant,0
1982,35-44 yrs,I,Upper-outer quadrant,0
1982,35-44 yrs,II,Axillary tail,0
1982,35-44 yrs,II,"Breast, NOS",0
1982,35-44 yrs,II,Central portion,0
1982,35-44 yrs,II,Lower-inner quadrant,0
1982,35-44 yrs,II,Lower-outer quadrant,0
1982,35-44 yrs,II,Nipple,0
1982,35-44 yrs,II,Overlapping lesion,0
1982,35-44 yrs,II,Upper-inner quadrant,0
1982,35-44 yrs,II,Upper-outer quadrant,0
1982,35-44 yrs,III,Axillary tail,0
1982,35-44 yrs,III,"Breast, NOS",0
1982,35-44 yrs,III,Central portion,0
1982,35-44 yrs,III,Lower-inner quadrant,0
1982,35-44 yrs,III,Lower-outer quadrant,0
1982,35-44 yrs,III,Nipple,0
1982,35-44 yrs,III,Overlapping lesion,0
1982,35-44 yrs,III,Upper-inner quadrant,0
1982,35-44 yrs,III,Upper-outer quadrant,0
1982,35-44 yrs,IV,Axillary tail,0
1982,35-44 yrs,IV,"Breast, NOS",0
1982,35-44 yrs,IV,Central portion,0
1982,35-44 yrs,IV,Lower-inner quadrant,0
1982,35-44 yrs,IV,Lower-outer quadrant,0
1982,35-44 yrs,IV,Nipple,0
1982,35-44 yrs,IV,Overlapping lesion,0
1982,35-44 yrs,IV,Upper-inner quadrant,0
1982,35-44 yrs,IV,Upper-outer quadrant,0
1982,35-44 yrs,Unknown,Axillary tail,13
1982,35-44 yrs,Unknown,"Breast, NOS",190
1982,35-44 yrs,Unknown,Central portion,38
1982,35-44 yrs,Unknown,Lower-inner quadrant,35
1982,35-44 yrs,Unknown,Lower-outer quadrant,59
1982,35-44 yrs,Unknown,Nipple,8
1982,35-44 yrs,Unknown,Overlapping lesion,233
1982,35-44 yrs,Unknown,Upper-inner quadrant,88
1982,35-44 yrs,Unknown,Upper-outer quadrant,334
1982,45-54 yrs,0,Axillary tail,0
1982,45-54 yrs,0,"Breast, NOS",0
1982,45-54 yrs,0,Central portion,0
1982,45-54 yrs,0,Lower-inner quadrant,0
1982,45-54 yrs,0,Lower-outer quadrant,0
1982,45-54 yrs,0,Nipple,0
1982,45-54 yrs,0,Overlapping lesion,0
1982,45-54 yrs,0,Upper-inner quadrant,0
1982,45-54 yrs,0,Upper-outer quadrant,0
1982,45-54 yrs,I,Axillary tail,0
1982,45-54 yrs,I,"Breast, NOS",0
1982,45-54 yrs,I,Central portion,0
1982,45-54 yrs,I,Lower-inner quadrant,0
1982,45-54 yrs,I,Lower-outer quadrant,0
1982,45-54 yrs,I,Nipple,0
1982,45-54 yrs,I,Overlapping lesion,0
1982,45-54 yrs,I,Upper-inner quadrant,0
1982,45-54 yrs,I,Upper-outer quadrant,0
1982,45-54 yrs,II,Axillary tail,0
1982,45-54 yrs,II,"Breast, NOS",0
1982,45-54 yrs,II,Central portion,0
1982,45-54 yrs,II,Lower-inner quadrant,0
1982,45-54 yrs,II,Lower-outer quadrant,0
1982,45-54 yrs,II,Nipple,0
1982,45-54 yrs,II,Overlapping lesion,0
1982,45-54 yrs,II,Upper-inner quadrant,0
1982,45-54 yrs,II,Upper-outer quadrant,0
1982,45-54 yrs,III,Axillary tail,0
1982,45-54 yrs,III,"Breast, NOS",0
1982,45-54 yrs,III,Central portion,0
1982,45-54 yrs,III,Lower-inner quadrant,0
1982,45-54 yrs,III,Lower-outer quadrant,0
1982,45-54 yrs,III,Nipple,0
1982,45-54 yrs,III,Overlapping lesion,0
